,"('video_name', '')","('diapo', '')","('frameTimeWindow', '')",ypredict
0,Test_pour_AFPA,1,0,1.0
1,Test_pour_AFPA,1,5,1.0
2,Test_pour_AFPA,1,10,1.0
3,Test_pour_AFPA,1,15,1.0
4,Test_pour_AFPA,1,20,1.0
5,Test_pour_AFPA,1,25,1.0
6,Test_pour_AFPA,1,30,1.0
7,Test_pour_AFPA,1,35,1.0
8,Test_pour_AFPA,1,40,1.0
9,Test_pour_AFPA,1,45,1.0
10,Test_pour_AFPA,1,50,0.0
11,Test_pour_AFPA,1,55,0.0
12,Test_pour_AFPA,1,60,0.0
13,Test_pour_AFPA,1,65,0.0
14,Test_pour_AFPA,1,70,0.0
15,Test_pour_AFPA,1,75,0.0
16,Test_pour_AFPA,1,80,0.0
17,Test_pour_AFPA,1,85,0.0
18,Test_pour_AFPA,1,90,0.0
19,Test_pour_AFPA,1,95,0.0
20,Test_pour_AFPA,1,100,0.0
21,Test_pour_AFPA,1,105,0.0
22,Test_pour_AFPA,1,110,0.0
23,Test_pour_AFPA,1,115,0.0
24,Test_pour_AFPA,1,120,0.0
25,Test_pour_AFPA,1,125,0.0
26,Test_pour_AFPA,1,130,0.0
27,Test_pour_AFPA,1,135,0.0
28,Test_pour_AFPA,1,140,0.0
29,Test_pour_AFPA,1,145,0.0
30,Test_pour_AFPA,1,150,0.0
31,Test_pour_AFPA,1,155,0.0
32,Test_pour_AFPA,1,160,0.0
33,Test_pour_AFPA,1,165,0.0
34,Test_pour_AFPA,8,170,0.0
35,Test_pour_AFPA,8,175,0.0
36,Test_pour_AFPA,8,180,0.0
37,Test_pour_AFPA,8,185,0.0
38,Test_pour_AFPA,8,190,0.0
39,Test_pour_AFPA,8,195,0.0
40,Test_pour_AFPA,8,200,0.0
41,Test_pour_AFPA,8,205,0.0
42,Test_pour_AFPA,8,210,0.0
43,Test_pour_AFPA,8,215,0.0
44,Test_pour_AFPA,9,220,0.0
45,Test_pour_AFPA,9,225,0.0
46,Test_pour_AFPA,9,230,0.0
47,Test_pour_AFPA,9,235,0.0
48,Test_pour_AFPA,9,240,0.0
49,Test_pour_AFPA,9,245,0.0
50,Test_pour_AFPA,9,250,0.0
51,Test_pour_AFPA,9,255,0.0
52,Test_pour_AFPA,9,260,0.0
53,Test_pour_AFPA,9,265,0.0
54,Test_pour_AFPA,9,270,0.0
55,Test_pour_AFPA,9,275,0.0
56,Test_pour_AFPA,9,280,0.0
57,Test_pour_AFPA,9,285,0.0
58,Test_pour_AFPA,9,290,0.0
59,Test_pour_AFPA,9,295,0.0
60,Test_pour_AFPA,9,300,0.0
61,Test_pour_AFPA,9,305,0.0
62,Test_pour_AFPA,9,310,0.0
63,Test_pour_AFPA,9,315,0.0
64,Test_pour_AFPA,10,315,0.0
65,Test_pour_AFPA,10,320,0.0
66,Test_pour_AFPA,10,325,0.0
67,Test_pour_AFPA,10,330,0.0
68,Test_pour_AFPA,10,335,0.0
69,Test_pour_AFPA,10,340,0.0
70,Test_pour_AFPA,10,345,0.0
71,Test_pour_AFPA,10,350,0.0
72,Test_pour_AFPA,10,355,0.0
73,Test_pour_AFPA,10,360,0.0
74,Test_pour_AFPA,10,365,0.0
75,Test_pour_AFPA,10,370,0.0
76,Test_pour_AFPA,10,375,0.0
77,Test_pour_AFPA,10,380,0.0
78,Test_pour_AFPA,10,385,0.0
79,Test_pour_AFPA,11,385,0.0
80,Test_pour_AFPA,11,390,0.0
81,Test_pour_AFPA,11,395,0.0
82,Test_pour_AFPA,11,400,0.0
83,Test_pour_AFPA,11,405,0.0
84,Test_pour_AFPA,11,410,0.0
85,Test_pour_AFPA,11,415,0.0
86,Test_pour_AFPA,11,420,0.0
87,Test_pour_AFPA,11,425,0.0
88,Test_pour_AFPA,11,430,0.0
