,"('video_name', '')","('diapo', '')","('frameTimeWindow', '')",ypredict
0,Test_pour_AFPA,1,0,2.0
1,Test_pour_AFPA,1,5,2.0
2,Test_pour_AFPA,1,10,0.0
3,Test_pour_AFPA,1,15,2.0
4,Test_pour_AFPA,1,20,2.0
5,Test_pour_AFPA,1,25,2.0
6,Test_pour_AFPA,1,30,2.0
7,Test_pour_AFPA,1,35,2.0
8,Test_pour_AFPA,1,40,2.0
9,Test_pour_AFPA,1,45,2.0
10,Test_pour_AFPA,1,50,2.0
11,Test_pour_AFPA,1,55,2.0
12,Test_pour_AFPA,1,60,2.0
13,Test_pour_AFPA,1,65,2.0
14,Test_pour_AFPA,1,70,2.0
15,Test_pour_AFPA,1,75,2.0
16,Test_pour_AFPA,1,80,2.0
17,Test_pour_AFPA,1,85,2.0
18,Test_pour_AFPA,1,90,2.0
19,Test_pour_AFPA,1,95,2.0
20,Test_pour_AFPA,1,100,2.0
21,Test_pour_AFPA,1,105,0.0
22,Test_pour_AFPA,1,110,2.0
23,Test_pour_AFPA,1,115,2.0
24,Test_pour_AFPA,1,120,2.0
25,Test_pour_AFPA,1,125,0.0
26,Test_pour_AFPA,1,130,0.0
27,Test_pour_AFPA,1,135,2.0
28,Test_pour_AFPA,1,140,2.0
29,Test_pour_AFPA,1,145,2.0
30,Test_pour_AFPA,1,150,0.0
31,Test_pour_AFPA,1,155,2.0
32,Test_pour_AFPA,1,160,2.0
33,Test_pour_AFPA,1,165,2.0
34,Test_pour_AFPA,8,170,2.0
35,Test_pour_AFPA,8,175,0.0
36,Test_pour_AFPA,8,180,1.0
37,Test_pour_AFPA,8,185,1.0
38,Test_pour_AFPA,8,190,1.0
39,Test_pour_AFPA,8,195,1.0
40,Test_pour_AFPA,8,200,1.0
41,Test_pour_AFPA,8,205,1.0
42,Test_pour_AFPA,8,210,1.0
43,Test_pour_AFPA,8,215,2.0
44,Test_pour_AFPA,9,220,1.0
45,Test_pour_AFPA,9,225,2.0
46,Test_pour_AFPA,9,230,2.0
47,Test_pour_AFPA,9,235,2.0
48,Test_pour_AFPA,9,240,1.0
49,Test_pour_AFPA,9,245,1.0
50,Test_pour_AFPA,9,250,2.0
51,Test_pour_AFPA,9,255,1.0
52,Test_pour_AFPA,9,260,2.0
53,Test_pour_AFPA,9,265,2.0
54,Test_pour_AFPA,9,270,1.0
55,Test_pour_AFPA,9,275,1.0
56,Test_pour_AFPA,9,280,1.0
57,Test_pour_AFPA,9,285,1.0
58,Test_pour_AFPA,9,290,1.0
59,Test_pour_AFPA,9,295,2.0
60,Test_pour_AFPA,9,300,1.0
61,Test_pour_AFPA,9,305,1.0
62,Test_pour_AFPA,9,310,1.0
63,Test_pour_AFPA,9,315,2.0
64,Test_pour_AFPA,10,315,0.0
65,Test_pour_AFPA,10,320,2.0
66,Test_pour_AFPA,10,325,2.0
67,Test_pour_AFPA,10,330,1.0
68,Test_pour_AFPA,10,335,0.0
69,Test_pour_AFPA,10,340,1.0
70,Test_pour_AFPA,10,345,2.0
71,Test_pour_AFPA,10,350,1.0
72,Test_pour_AFPA,10,355,1.0
73,Test_pour_AFPA,10,360,1.0
